Campus,Precinct,Reticulation,Building,Meter Name,Meter Type,meter_id,description,make,manufacturer,type,Serial Number,model,yard_number,Building_No,Floor,Room_No,Meter_Description,Latitude,Longitude,IP_Address,Port,Location,Starting date
-,Monica 11 kV,-,Monica Toevoer LV,Botaniese Tuine Hoeftovoer,Energy,2915,Katjiepiering Restaurant,Elster,Kocos,A1140,88900738,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Monica 11 kV,-,Monica Toevoer LV,Botaniese Tuine Hoeftovoer,Energy,7281,Ou Conserve Building,Elster,Kocos,A1140,48127334,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Monica 11 kV,-,Monica Toevoer LV,Botaniese Tuine Hoeftovoer,Energy,2712,Botaniese Tuine Hoeftovoer,Elster,Kocos,A1140,58500668,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Monica 11 kV,-,Monica Toevoer LV,Harmonie Toevoer,Energy,2927,Harmonie Hittepompe,Elster,Kocos,A1140,68509037,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Monica 11 kV,-,Monica Toevoer LV,Harmonie Toevoer,Energy,2926,Harmonie Kombuis,Elster,Kocos,A1140,68509036,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Monica 11 kV,-,Monica Toevoer LV,Harmonie Toevoer,Energy,3125,VM,VM,VM,VM,VM,VM,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Monica 11 kV,-,Monica Toevoer LV,Harmonie Toevoer,Energy,2713,Harmonie Toevoer,Elster,Kocos,A1140,68509035,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Monica 11 kV,-,Monica Toevoer LV,Lombardi,Energy,2920,Lombardi MTN,Elster,Kocos,A1140,98129702,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Monica 11 kV,-,Monica Toevoer LV,Lombardi,Energy,2921,Lombardi Vodacom,Elster,Kocos,A1140,98129700,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Monica 11 kV,-,Monica Toevoer LV,Lombardi,Energy,2710,Lombardi  ,Elster,Kocos,A1140,58500458,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Monica 11 kV,-,Monica Toevoer LV,Monica Toevoer 1,Energy,3024,Monica Hittepompe,Elster,Kocos,A1140,68509038,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Monica 11 kV,-,Monica Toevoer LV,Monica Toevoer 1,Energy,2727,Monica Kombuis,Elster,Kocos,A1140,68509039,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Monica 11 kV,-,Monica Toevoer LV,Monica Toevoer 1,Energy,3126,VM,VM,VM,VM,VM,VM,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Monica 11 kV,-,Monica Toevoer LV,Monica Toevoer 1,Energy,2714,Monica Toevoer 1,Elster,Kocos,A1140,68509034,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Monica 11 kV,-,Monica Toevoer LV,Sasol Kuns Museum,Energy,2711,Sasol Kunsmuseum,Elster,Kocos,A1140,58500455,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Monica 11 kV,-,Monica Toevoer LV,Wilgenhof Hooftoevoer,Energy,2737,Wilgenhof Hittepompe,Elster,Kocos,A1140,68509030,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Monica 11 kV,-,Monica Toevoer LV,Wilgenhof Hooftoevoer,Energy,2738,Wilgenhof Kombuis,Elster,Kocos,A1140,68509004,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Monica 11 kV,-,Monica Toevoer LV,Wilgenhof Hooftoevoer,Energy,3127,VM,VM,VM,VM,VM,VM,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Monica 11 kV,-,Monica Toevoer LV,Wilgenhof Hooftoevoer,Energy,2715,Wilgenhof Hooftoevoer,Elster,Kocos,A1140,68509033,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Monica 11 kV,-,Monica Toevoer LV,-,Energy,4973,Monica Toevoer LV,Elster,Kocos,A1140,48122702,LiMo R2,-,-,-,-,-,-33.93522796,18.8647204,-,0,-,2022/05/01 00:00
-,Schumann 11 kV,-,-,-,Energy,2919,Schumann 11 kV,Elster,Kocos,A1700,61501554,LiMo-DIN,-,-,-,-,-,-33.93231372,18.8659465,-,0,-,2022/05/01 00:00
-,Schumann 11 kV,-,Anorganiese Chemie,-,Energy,2667,Anorganiese Chemie,Elster,Kocos,A1140,58500674,LiMo R2,-,-,-,-,-,-33.93198125,18.86750991,-,0,-,2022/05/01 00:00
-,Schumann 11 kV,-,CGW Schumann (LRP1),Schumann MTN,Energy,2918,Schumann MTN,Elster,Kocos,A1140,98102079,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Schumann 11 kV,-,CGW Schumann (LRP1),Schumann Vodacom,Energy,2917,Schumann Vodacom,Elster,Kocos,A1140,98102070,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Schumann 11 kV,-,CGW Schumann (LRP1),-,Energy,2827,CGW Schumann,Elster,Kocos,A1140,78520569,LiMo R2,-,-,-,-,-,-33.93235804,18.86691267,-,0,-,2022/05/01 00:00
-,Schumann 11 kV,-,CGW Schumann Gebou,-,Energy,2831,CGW Schumann Gebou,Elster,Kocos,A1140,68509058,LiMo R2,-,-,-,-,-,-33.93247605,18.8658074,-,0,-,2022/05/01 00:00
-,Schumann 11 kV,-,Chemie Skeikunde/Eerstejaars,-,Energy,2828,Chemie Skeikunde/Eerstejaars,Elster,Kocos,A1140,98132497,LiMo R2,-,-,-,-,-,-33.93203745,18.86678425,-,0,-,2022/05/01 00:00
-,Schumann 11 kV,-,Mike de Vries,-,Energy,2650,Mike de Vries,ELSTER,Kocos,A1140,58500477,LiMo R2,6176,84,1,113,Lettere  Vodacom,-33.932284,18.86077864,-,0,-,2022/05/01 00:00
-,Schumann 11 kV,-,Polimeerwetenskap,Plascon,Energy,2832,Plascon,Elster,Kocos,A1140,58501530,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Schumann 11 kV,-,Polimeerwetenskap,Polimeerwetenskap - VM Remainder,Energy,3060,VM,VM,VM,VM,VM,VM,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Schumann 11 kV,-,Polimeerwetenskap,-,Energy,2648,Polimeerwetenskap,Elster,Kocos,A1140,58500443,LiMo R2,-,-,-,-,-,-33.93274571,18.86628738,-,0,-,2022/05/01 00:00
-,Schumann 11 kV,-,Schuman HVAC,-,Energy,3169,Schuman HVAC,Elster,Kocos,A1140,38145326,LiMo R2,-,-,-,-,-,-33.93231354,18.86754529,-,0,-,2022/05/01 00:00
-,Simonsberg 11 kV,-,-,-,Energy,2867,Simonsberg 11 kV,Elster,Kocos,A1700,51500262,LiMo-DIN,-,-,-,-,-,-33.93202863,18.87044366,-,0,-,2022/05/01 00:00
-,Simonsberg 11 kV,-,Aankope,-,Energy,2899,Aankope,Elster,Kocos,A1140,68509020,LiMo R2,-,-,-,-,-,-33.93233824,18.86903545,-,0,-,2022/05/01 00:00
-,Simonsberg 11 kV,-,Dagbreek Substasie - VM Total,Dagbreek Annex,Energy,3752,Dagbreek Annex,Elster,Kocos,A1140,88523225,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Simonsberg 11 kV,-,Dagbreek Substasie - VM Total,Dagbreek Hittepompe,Energy,2901,Dagbreek Hittepompe,Elster,Kocos,A1140,68509064,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Simonsberg 11 kV,-,Dagbreek Substasie - VM Total,Dagbreek Kombuis,Energy,2898,Dagbreek Kombuis,Elster,Kocos,A1140,68509025,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Simonsberg 11 kV,-,Dagbreek Substasie - VM Total,Dagbreek Oos,Energy,2870,Dagbreek Oos,Elster,Kocos,A1140,68509044,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Simonsberg 11 kV,-,Dagbreek Substasie - VM Total,Dagbreek Waskamer,Energy,2900,Dagbreek Waskamer,Elster,Kocos,A1140,68509024,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Simonsberg 11 kV,-,Dagbreek Substasie - VM Total,Dagbreek Wes,Energy,2869,Dagbreek Wes,Elster,Kocos,A1140,68509043,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Simonsberg 11 kV,-,Dagbreek Substasie - VM Total,Huis Visser Uitbreiding,Energy,2962,Huis Visser Uitbreiding  ,Elster,Kocos,A1140,88523224,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Simonsberg 11 kV,-,Dagbreek Substasie - VM Total,-,Energy,3058,VM,VM,VM,VM,VM,VM,-,-,-,-,-,-33.93247895,18.86862797,-,0,-,2022/05/01 00:00
-,Simonsberg 11 kV,-,Eendrag Hooftoevoer,Eendrag Hittepompe,Energy,2945,Eendrag Hittepompe,Elster,Kocos,A1140,68509027,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Simonsberg 11 kV,-,Eendrag Hooftoevoer,Eendrag Kombuis,Energy,2874,Eendrag Kombuis,Elster,Kocos,A1140,68509022,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Simonsberg 11 kV,-,Eendrag Hooftoevoer,Eendrag Koshuis - VM Remainder,Energy,3061,VM,VM,VM,VM,VM,VM,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Simonsberg 11 kV,-,Eendrag Hooftoevoer,Ou Mutual Muurbalbane,Energy,2875,Ou Mutual Muurbalbane,Elster,Kocos,A1140,68509021,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Simonsberg 11 kV,-,Eendrag Hooftoevoer,-,Energy,2873,Eendrag Hooftoevoer,Elster,Kocos,A1140,68509026,LiMo R2,-,-,-,-,-,-33.93089714,18.87220786,-,0,-,2022/05/01 00:00
-,Simonsberg 11 kV,-,Helshoogte - Main Incomer,Helshoogte - Cell C,Energy,6954,Helshoogte - Cell C,Elster,KoCos,A1140,48126706,LiMo R1,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Simonsberg 11 kV,-,Helshoogte - Main Incomer,Helshoogte - Emergency Main Meter,Energy,6951,Helshoogte - Emergency Main Meter,Elster,KoCos,A1140,48125267,LiMo R1,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Simonsberg 11 kV,-,Helshoogte - Main Incomer,Helshoogte - Laundry,Energy,6952,Helshoogte - Laundry,Elster,KoCos,A1140,48125269,LiMo R1,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Simonsberg 11 kV,-,Helshoogte - Main Incomer,Helshoogte - Main Kitchen,Energy,6950,Helshoogte - Main Kitchen,Elster,KoCos,A1140,48125270,LiMo R1,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Simonsberg 11 kV,-,Helshoogte - Main Incomer,Helshoogte - MTN,Energy,6955,Helshoogte - MTN,Elster,KoCos,A1140,48125943,LiMo R1,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Simonsberg 11 kV,-,Helshoogte - Main Incomer,Helshoogte - Vodacom,Energy,6953,Helshoogte - Vodacom,Elster,KoCos,A1140,48125947,LiMo R1,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Simonsberg 11 kV,-,Helshoogte - Main Incomer,-,Energy,6949,Hellshoogte - Main Incomer,Elster,KoCos,A1140,48125268,LiMo R1,-,-,-,-,-,-33.93120226,18.87102561,-,0,-,2022/05/01 00:00
-,Simonsberg 11 kV,-,Huis Marais Visser Toevoer,Huis Marais Koshuis - VM Remainder,Energy,3064,VM,VM,VM,VM,VM,VM,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Simonsberg 11 kV,-,Huis Marais Visser Toevoer,Huis Marais Visser Kombuis,Energy,2961,Huis Marais Visser Kombuis,Elster,Kocos,A1140,68509017,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Simonsberg 11 kV,-,Huis Marais Visser Toevoer,Huis Visser Koshuis,Energy,2957,Huis Visser Koshuis,Elster,Kocos,A1140,68509010,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Simonsberg 11 kV,-,Huis Marais Visser Toevoer,-,Energy,2897,Huis Marais Visser Toevoer,Elster,Kocos,A1140,68509019,LiMo R2,-,-,-,-,-,-33.93163204,18.86818376,-,0,-,2022/05/01 00:00
-,Simonsberg 11 kV,-,Huis Russel Botman - Main Incomer,Irene Main Supply (at Russel Botman),Energy,2896,Irene New Kitchen,Elster,Kocos,A1140,88523089,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Simonsberg 11 kV,-,Huis Russel Botman - Main Incomer,Irene Main Supply (at Russel Botman),Energy,2885,Irene Kitchen,Elster,Kocos,A1140,88502886,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Simonsberg 11 kV,-,Huis Russel Botman - Main Incomer,Irene Main Supply (at Russel Botman),Energy,2887,Irene Heat-pump,Elster,Kocos,A1140,18102595,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Simonsberg 11 kV,-,Huis Russel Botman - Main Incomer,Irene Main Supply (at Russel Botman),Energy,3135,VM,VM,VM,VM,VM,VM,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Simonsberg 11 kV,-,Huis Russel Botman - Main Incomer,Irene Main Supply (at Russel Botman),Energy,2884,Irene Main DB at Irene,Elster,Kocos,A1140,68509047,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Simonsberg 11 kV,-,Huis Russel Botman - Main Incomer,Irene Main Supply (at Russel Botman),Energy,2894,Irene Main Supply (at Huis Russel Botman),Elster,Kocos,A1140,88524063,LiMo R2,15827,205,1,1011,Huis Rusell Botman,-,-,-,0,-,2022/05/01 00:00
-,Simonsberg 11 kV,-,Huis Russel Botman - Main Incomer,-,Energy,7119,Huis Russell Botman - Main Incomer,Elster,Kocos,A1140,88524062,LiMo R2,-,-,-,-,-,-33.93224123,18.87218104,-,0,-,2022/05/01 00:00
-,Simonsberg 11 kV,-,Majuba Hooftoevoer,Majuba Hittepompe,Energy,2872,Majuba Hittepompe,Elster,Kocos,A1140,68509062,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Simonsberg 11 kV,-,Majuba Hooftoevoer,Majuba Kombuis,Energy,3042,Majuba Kombuis,Elster,Kocos,A1140,68509073,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Simonsberg 11 kV,-,Majuba Hooftoevoer,Majuba Koshuis - VM Remainder,Energy,3065,VM,VM,VM,VM,VM,VM,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Simonsberg 11 kV,-,Majuba Hooftoevoer,-,Energy,2871,Majuba Hooftoevoer,Elster,Kocos,A1140,68509061,LiMo R2,-,-,-,-,-,-33.93272254,18.86981065,-,0,-,2022/05/01 00:00
-,Simonsberg 11 kV,-,Simonsberg Hooftoevoer,Simonsberg Hittepompe,Energy,2963,Simonsberg Hittepompe,Elster,Kocos,A1140,68509013,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Simonsberg 11 kV,-,Simonsberg Hooftoevoer,Simonsberg Kombuis,Energy,2882,Simonsberg Kombuis,Elster,Kocos,A1140,68509009,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Simonsberg 11 kV,-,Simonsberg Hooftoevoer,Simonsberg Koshuis - VM Remainder,Energy,3066,VM,VM,VM,VM,VM,VM,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Simonsberg 11 kV,-,Simonsberg Hooftoevoer,-,Energy,2876,Simonsberg Hooftoevoer,Elster,Kocos,A1140,68509008,LiMo R2,-,-,-,-,-,"-33.93142504341793, 18.87004118409002",18.87004118,-,0,-,2022/05/01 00:00
-,Simonsberg 11 kV,-,Sonop Hooftoevoer,Sonop Hittepompe,Energy,3080,Sonop Hittepompe,Elster,Kocos,A1140,58500673,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Simonsberg 11 kV,-,Sonop Hooftoevoer,Sonop Kombuis,Energy,2888,Sonop Kombuis New Generation-DB,Elster,Kocos,A1140,68509071,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Simonsberg 11 kV,-,Sonop Hooftoevoer,Sonop Koshuis - VM Remainder,Energy,3165,VM,VM,VM,VM,VM,VM,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Simonsberg 11 kV,-,Sonop Hooftoevoer,-,Energy,2902,Sonop,Elster,Kocos,A1140,68509069,LiMo R2,-,-,-,-,-,-33.93264305,18.87128369,-,0,-,2022/05/01 00:00
-,Simonsberg 11 kV,-,Wimbledon Gebou,Wimbledon Hittepompe,Energy,3079,Wimbledon Hittepompe,Elster,Kocos,A1140,68509003,LiMo R2,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Simonsberg 11 kV,-,Wimbledon Gebou,-,Energy,2895,Wimbledon Gebou,Elster,Kocos,A1140,98124317,LiMo R2,-,-,-,-,-,-33.93210223,18.87203936,-,0,-,2022/05/01 00:00
-,STIAS Toevoer,-,-,-,Energy,2717,STIAS Toevoer,Elster,Kocos,A1140,58500677,LiMo R2,-,-,-,-,-,-33.93498546,18.8739945,-,0,-,2022/05/01 00:00
-,W.A.T Toevoer,-,-,-,Energy,3734,W.A.T Toevoer,Elster,Kocos,A1140,48103103,LiMo R2,-,-,-,-,-,-33.93005183,18.86244132,-,0,-,2022/05/01 00:00
-,Welgevallen 11 kV,-,-,-,Energy,3026,Welgevallen 11 kV,Elster,Kocos,A1700,51500266,LiMo-DIN,-,-,-,-,-,-33.94188235,18.86679919,-,0,-,2022/05/01 00:00
-,Welgevallen 11 kV,-,Paul van der Bijl Sub Toevoer,Paul van der Bijl -  VM Remainder,Energy,3914,VM,VM,VM,VM,VM,VM,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Welgevallen 11 kV,-,Paul van der Bijl Sub Toevoer,Paul van der Bijl Glashuis en Lab,Energy,2719,Paul van der Bijl Glashuis en Lab,Elster,Kocos,A1140,58500666,LiMo R2,306,119,1,-,Paul van der Bijn Glashuis en Lab,-33.93986374,18.8671766,-,0,-,2022/05/01 00:00
-,Welgevallen 11 kV,-,Paul van der Bijl Sub Toevoer,Wynkelder,Energy,2720,Wynkelder,ELSTER,Kocos,A1140,58500464,LiMo R2,306,119,1,-,Wynkelder,-33.93986096,18.86718062,-,0,-,2022/05/01 00:00
-,Welgevallen 11 kV,-,Paul van der Bijl Sub Toevoer,-,Energy,2718,Paul van der Bijl Sub Toevoer,ELSTER,Kocos,A1140,58500448,LiMo R2,306,119,1,-,Paul van der Bijl Sub Toevoer,-33.93986244,18.86718364,-,0,-,2022/05/01 00:00
-,Welgevallen 11 kV,-,Welgevallen Substasie,Toevoer Wintergraan Kantoor Blok 3 (B756),Energy,2723,Toevoer Wintergraan Kantoor Blok 3 (B756),Elster,Kocos,A1140,58500672,LiMo R2,306,760,1,1179,Toevoer Wintergraan Kantoor Blok 3,-33.94271888,18.86671493,-,0,-,2022/05/01 00:00
-,Welgevallen 11 kV,-,Welgevallen Substasie,Toevoere Wintergraan Laboratorium 2 & Glas,Energy,2722,Wintergraan Laboratorium 2 & Glashuis,Elster,Kocos,A1140,58500671,LiMo R2,306,760,1,1179,Wintergraan Laboratorium 2 en Glashuis,-33.94271722,18.8667289,-,0,-,2022/05/01 00:00
-,Welgevallen 11 kV,-,Welgevallen Substasie,Welgevallen - Melkstal,Energy,3078,Welgevallen Melkstal,Elster,Kocos,A1140,78520565,LiMo R2,306,0,1,Outside,Welgevallen Melkstal,-33.94310152,18.8680671,-,0,-,2022/05/01 00:00
-,Welgevallen 11 kV,-,Welgevallen Substasie,Welgevallen - VM Remainder,Energy,3915,VM,VM,VM,VM,VM,VM,-,-,-,-,-,-,-,-,0,-,2022/05/01 00:00
-,Welgevallen 11 kV,-,Welgevallen Substasie,Welgevallen Unistel Akwakultuur WG 6,Energy,3077,Welgevallen Unistel Akwakultuur WG6,Elster,Kocos,A1140,68905748,LiMo R2,308,753,1,1145,Welgevallen Unistel Akwakultuur WG6,-33.94261421,18.86582756,-,0,-,2022/05/01 00:00
-,Welgevallen 11 kV,-,Welgevallen Substasie,Welgevallen Unistel Akwakultuur WG 7,Energy,3076,Welgevallen Unistel Akwakultuur WG7,Elster,Kocos,A1140,68905749,LiMo R2,308,753,1,1145,Welgevallen Unistel Akwakultuur WG7,-33.94264175,18.86570351,-,0,-,2022/05/01 00:00
-,Welgevallen 11 kV,-,Welgevallen Substasie,Wintergraan Kantoor Blok 4 (B757),Energy,2721,Wintergraan Kantoor Blok 4 (B757),Elster,Kocos,A1140,58500678,LiMo R2,306,760,1,1179,Wintergraan Kantoor Blok 4 (B757),-33.94272,18.86670554,-,0,-,2022/05/01 00:00
-,Welgevallen 11 kV,-,Welgevallen Substasie,-,Energy,2724,Welgevallen Substasie,Elster,Kocos,A1700,71504073,LiMo-DIN,306,760,1,1179,Welgevallen Substasie,-33.94272278,18.86670353,-,0,-,2022/05/01 00:00
